seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.36482953290965103,0.44760759194911187,0.08268106762001515,0.038137692054072095,0.27720001880007245,0.008840938809624017,0.18677892111007172,0.9629923258186934,2.4746421023749687,1
42,B_blind,SIT,0.25,0.4004476549976816,0.4757294437691008,0.08324970179220911,0.03798335268324068,0.27275294789235527,0.011976827365757512,0.2235734331150608,0.9580989839417513,2.160738502418664,1
42,B_blind,Steck-b,0.75,0.4379963160244007,0.5075924935157051,0.07536180760746672,0.032383180305684836,0.14940413949576278,0.030563368930912885,0.3199251637043966,0.9330119937381949,2.1982058798131923,1
42,B_blind,UNI_mean,0.25,0.36686508094928916,0.45149016961134175,0.08290390381554759,0.03813845644275366,0.2714663410480688,0.008882918558017988,0.19020891799189274,0.9622557439007569,2.5138413416076237,1
42,B_blind,UNI_glob,2.0,0.388330645920893,0.4902106713996051,0.0642843164941501,0.031655710111284284,0.22512058813420566,0.6321690948865752,0.39226691612098535,0.8905290624661661,2.3897129633230616,1
42,B_full,BASE,,0.472325370215203,0.5321661091354067,0.07213439178364926,0.030450856083056956,0.2988718298778101,0.05974350431006234,0.2684752104770814,0.959058209153665,2.2550911374549796,1
42,B_full,SIT,0.1,0.4755405521453797,0.5335415393166333,0.07126395524817924,0.030134487527047376,0.3034946471274472,0.06046975427779281,0.268163392578734,0.9583617338164239,2.066845718633619,1
42,B_full,Steck-b,0.25,0.48042834915558763,0.536212518553439,0.06930017558287062,0.02912800699829967,0.274456854411012,0.0711032289578922,0.30183972560024946,0.9527288385819364,1.9728844837226098,1
42,B_full,UNI_mean,0.05,0.4721450983875175,0.53212652774858,0.07226053652318697,0.030476245922370845,0.29841669315799935,0.06032912204509908,0.268163392578734,0.9588814032609154,2.252295567815625,1
42,B_full,UNI_glob,1.5,0.4794694432614907,0.5384421513966972,0.05383332207743784,0.02307482526915407,0.30017843740576894,0.47495277376227674,0.4552541315871531,0.921727285540044,1.8842336763954703,1
42,B_blind,Steck-a,,0.5543758215177146,0.6298279247998764,0.07660625883191009,0.031512352989320584,,0.0,0.0,0.0,,0
43,B_blind,BASE,,0.36482953290965103,0.44760759194911187,0.08268106762001515,0.038137692054072095,0.27720001880007245,0.008840938809624017,0.18677892111007172,0.9629923258186934,2.491518762931648,1
43,B_blind,SIT,0.25,0.39413531726381085,0.4697629612332827,0.08232701451039509,0.03697613339518601,0.2716496322116174,0.011586415536092083,0.21234798877455566,0.9590271072130885,2.376051640941721,1
43,B_blind,Steck-b,0.75,0.4341569010494467,0.5049239182785726,0.07665173296196903,0.03356824885437654,0.15475396951394546,0.028382520076309842,0.3161833489242282,0.9351489915817544,2.268659724627559,1
