seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.36482953290965103,0.44760759194911187,0.08268106762001515,0.038137692054072095,0.27720001880007245,0.008840938809624017,0.18677892111007172,0.9629923258186934,2.4746421023749687,1
42,B_blind,SIT,0.25,0.4004476549976816,0.4757294437691008,0.08324970179220911,0.03798335268324068,0.27275294789235527,0.011976827365757512,0.2235734331150608,0.9580989839417513,2.160738502418664,1
42,B_blind,Steck-b,0.75,0.4379963160244007,0.5075924935157051,0.07536180760746672,0.032383180305684836,0.14940413949576278,0.030563368930912885,0.3199251637043966,0.9330119937381949,2.1982058798131923,1
42,B_blind,UNI_mean,0.25,0.36686508094928916,0.45149016961134175,0.08290390381554759,0.03813845644275366,0.2714663410480688,0.008882918558017988,0.19020891799189274,0.9622557439007569,2.5138413416076237,1
42,B_blind,UNI_glob,2.0,0.388330645920893,0.4902106713996051,0.0642843164941501,0.031655710111284284,0.22512058813420566,0.6321690948865752,0.39226691612098535,0.8905290624661661,2.3897129633230616,1
42,B_full,BASE,,0.47232746920349067,0.532175666679116,0.07213439178364926,0.030450856083056956,0.2988686533428198,0.05974350431006234,0.2684752104770814,0.9590581135963558,2.2551007195988158,1
42,B_full,SIT,0.1,0.475537053831567,0.53353862913478,0.07126395524817924,0.030134487527047376,0.30349294135495664,0.06046975427779281,0.268163392578734,0.9583614916506409,2.0668604010166387,1
42,B_full,Steck-b,0.25,0.48042834915558763,0.536212518553439,0.06930017558287062,0.02912800699829967,0.27445693875936966,0.0711032289578922,0.30183972560024946,0.95272920772113,1.9728594441147418,1
42,B_full,UNI_mean,0.05,0.4721450983875175,0.53212652774858,0.07226053652318697,0.030476245922370845,0.29841669315799935,0.06032912204509908,0.268163392578734,0.9588814032609154,2.252295567815625,1
42,B_full,UNI_glob,1.5,0.4794694432614907,0.5384421513966972,0.05383332207743784,0.02307482526915407,0.30017843740576894,0.4749506747734886,0.4552541315871531,0.9217276834773309,1.8842336763954703,1
42,EASE,BASE,,0.3688737021850866,0.4504954835078227,0.08688004516536767,0.03873355881819729,0.2704221352009694,0.007356954082376856,0.23012160898035547,0.9707070417503103,2.617976676751389,1
42,EASE,SIT,0.05,0.3986188718839752,0.45843665604175143,0.07685399441163786,0.03590860611897199,0.3445826740881048,0.03765585040628652,0.47988774555659497,0.9387686252158172,1.3355807807662157,0
42,EASE,Steck-b,0.05,0.41694310223151104,0.47631262551708087,0.06100422196689425,0.02823096884048127,0.1926043527491047,0.09557323445022985,0.5799812909260992,0.910784321695016,2.076591437446814,1
